Gene	Condition	Region	Group	mean_logCPM
PLN	LA_Control	LA	Control	10.3798740130406
PLN	LV_AF	LV	AF	10.6057324894481
PLN	LV_Control	LV	Control	10.305939042536
PLN	RA_AF	RA	AF	10.3108853753132
PLN	RA_Control	RA	Control	10.5257243332511
PLN	RV_AF	RV	AF	10.629554054713
PLN	RV_Control	RV	Control	10.548280836331
RYR2	LA_AF	LA	AF	9.28473727220827
RYR2	LA_Control	LA	Control	9.71798337924417
RYR2	LV_AF	LV	AF	9.1702852491051
RYR2	LV_Control	LV	Control	9.51259063368335
RYR2	RA_AF	RA	AF	9.02678077598333
RYR2	RA_Control	RA	Control	9.79576740062457
RYR2	RV_AF	RV	AF	9.44908039200522
RYR2	RV_Control	RV	Control	9.85096042870956
SCN5A	LA_AF	LA	AF	6.97573692928732
SCN5A	LA_Control	LA	Control	7.21509697933314
SCN5A	LV_AF	LV	AF	5.57569902342809
SCN5A	LV_Control	LV	Control	5.76070985119217
SCN5A	RA_AF	RA	AF	6.66022587252946
SCN5A	RA_Control	RA	Control	6.94672314545039
SCN5A	RV_AF	RV	AF	5.81512481033586
SCN5A	RV_Control	RV	Control	5.69232366380374
SCN7A	LA_AF	LA	AF	1.96913019692949
SCN7A	LA_Control	LA	Control	1.75622449301836
SCN7A	LV_AF	LV	AF	2.24010049598981
SCN7A	LV_Control	LV	Control	2.02410902416036
SCN7A	RA_AF	RA	AF	2.49063295062546
SCN7A	RA_Control	RA	Control	2.43461365209274
SCN7A	RV_AF	RV	AF	2.16613859520495
SCN7A	RV_Control	RV	Control	1.83988147915931
SCN8A	LA_AF	LA	AF	2.56574702271006
SCN8A	LA_Control	LA	Control	3.36104019661107
SCN8A	LV_AF	LV	AF	2.6111109738822
SCN8A	LV_Control	LV	Control	2.97191013643399
SCN8A	RA_AF	RA	AF	2.39607659468936
SCN8A	RA_Control	RA	Control	3.68581143884575
SCN8A	RV_AF	RV	AF	2.58088367396351
SCN8A	RV_Control	RV	Control	2.82301967365737
