"GENENAME","ENSEMBL","ENSEMBL.1","PC1","PC2","PC3","PC4","PC5"
"RTKN2","ENSECAG00000000259","ENSECAG00000000259",0.00941835859802641,0.00439428889302984,-0.00661508028672539,0.00751686262301331,0.00150934791749557
"STAU2","ENSECAG00000000260","ENSECAG00000000260",-0.00206570886766681,-0.00440900291846077,-0.00055415335891484,-0.00796558112364705,0.000886146705348181
"IDH3B","ENSECAG00000000261","ENSECAG00000000261",0.00192776788870974,-0.00505992138796941,0.00557129469273415,0.000640620202546589,0.00263662467562322
"SLC35A2","ENSECAG00000000263","ENSECAG00000000263",-0.000834578562053573,0.000982156633166809,0.00175491531530001,0.00384326012045121,-0.00595947879746075
"DCT","ENSECAG00000000264","ENSECAG00000000264",-0.0145462407090829,0.0132181519065958,0.0110421414956476,0.00125339455203248,0.00362164709851785
"CYB5B","ENSECAG00000000265","ENSECAG00000000265",-0.00167804752722884,0.00334877713415104,-0.00442996040106227,-0.00622791576399629,0.000191330715407076
"RYBP","ENSECAG00000000266","ENSECAG00000000266",-0.00203327619870247,0.0107047250659059,-0.0154623073538827,-0.00985510504052785,-0.00744302925166587
"CDC37L1","ENSECAG00000000269","ENSECAG00000000269",-0.00284483422043474,-0.00241084943493476,0.00294510435233987,-0.00557083538599052,-0.00237145019192896
"APBA1","ENSECAG00000000271","ENSECAG00000000271",-0.0128896287036274,0.00239417997687127,-0.0186112732096589,0.0111953343911618,-0.00465031367322585
"DLST","ENSECAG00000000273","ENSECAG00000000273",0.00315585115162273,3.88416720783095e-05,0.0040163274106287,-0.00455210163591135,-0.00167913610050859
"SPAG16","ENSECAG00000000274","ENSECAG00000000274",0.0051248873409685,0.0014281986281541,-0.00370826531703324,-0.00630582400604234,0.00207386615396643
"FARS2","ENSECAG00000000279","ENSECAG00000000279",0.000839525217466828,0.000309043838823401,0.00682677280241369,-0.00463817245248744,0.000254965743238953
"ABCD4","ENSECAG00000000282","ENSECAG00000000282",0.0102277979486651,0.00209222444381487,0.00432560345763125,-0.000112614761955852,0.0013545479778392
"HIRA","ENSECAG00000000286","ENSECAG00000000286",0.00131403449997375,-0.00738167293693905,0.00336450795970841,0.000209973451510818,0.00481241332875706
"RBM10","ENSECAG00000000287","ENSECAG00000000287",0.000148456518456947,-0.00248154011921441,0.00203323431477177,0.00121524965083922,0.000926523356123199
"PLCG2","ENSECAG00000000291","ENSECAG00000000291",0.00708264184585018,0.0101627979131565,0.00981835564272074,0.00176744384111314,-0.0223123161679793
"THSD7A","ENSECAG00000000292","ENSECAG00000000292",-0.00751657374255081,0.0126499607895847,-0.0135214081993206,0.000166086810679235,0.0148286025848626
"ZMYM3","ENSECAG00000000294","ENSECAG00000000294",-0.00572096813070293,-5.92954179679829e-05,-0.00133872768542419,-0.00168894509928231,0.00457462600321128
"MRE11","ENSECAG00000000295","ENSECAG00000000295",0.00104159143773838,0.00286688041004253,-0.0114638865830684,0.00336092111675758,0.00569582668209344
"LAMC3","ENSECAG00000000296","ENSECAG00000000296",0.0296256923471511,-0.0270851406552416,-0.0167328193460665,0.00472757185150714,-0.0351278832995391
"DENND4C","ENSECAG00000000298","ENSECAG00000000298",-0.0119058926963633,0.00903024759424569,-0.0125114414006415,-0.00354756103863898,-0.00354343138927689
"LRRC8E","ENSECAG00000000299","ENSECAG00000000299",0.00234927682681527,-0.00273443987306084,0.0102899611868086,-0.0151108571766839,-0.0175556779945094
"ARL3","ENSECAG00000000300","ENSECAG00000000300",-0.0018627911858434,-0.00832609916302563,0.00906107887863209,0.00323933320731588,0.000709627471917165
"ZNF341","ENSECAG00000000301","ENSECAG00000000301",-0.00748354497511276,0.00447120130832912,-0.00734803041585415,-0.00293155484987224,0.00571331178422467
"PMM1","ENSECAG00000000302","ENSECAG00000000302",0.00370963732494175,-0.00534539973454739,0.00762805575471783,0.00535286871951555,0.00181857462494162
"SLC2A1","ENSECAG00000000303","ENSECAG00000000303",-0.0056996267324463,-0.00477156649650285,-0.00166243265586443,0.00296849031861123,-0.0118134163320196
"GLRX3","ENSECAG00000000306","ENSECAG00000000306",0.000958132050798999,-0.00482122379416514,0.0052207263827009,-0.00635473588059923,-0.000858086659703392
"BACH1","ENSECAG00000000307","ENSECAG00000000307",0.00412724010274022,0.0133794020732524,-0.0121665047566285,-0.00229546313393253,-0.00544771064347986
"RICTOR","ENSECAG00000000308","ENSECAG00000000308",-0.0109822627845726,0.0178059246893467,-0.0246216067668224,-0.0231822451314247,-0.0155011833697431
"EIF4ENIF1","ENSECAG00000000311","ENSECAG00000000311",-0.00282018906559202,-0.00238440320505368,-0.00399726596705426,0.00187636368447504,0.00050239422875996
"ECI2","ENSECAG00000000313","ENSECAG00000000313",-0.000368606964167922,-0.00318370906469396,0.00903883194721723,-0.000535548712003771,-0.00109068116602513
"SART3","ENSECAG00000000314","ENSECAG00000000314",-0.00401326771438092,-0.00025067890862329,-0.00150765007074096,0.00308415801491946,0.00347605404076438
"SRP14","ENSECAG00000000319","ENSECAG00000000319",0.00543667971197968,-0.00929765595527754,0.0122801748947765,0.000851532036383065,-9.2965841501035e-05
"TUSC3","ENSECAG00000000320","ENSECAG00000000320",0.000986080026089583,0.000567520904712572,0.00388903395273019,0.00221184601257994,0.00152434008418311
"ABCA10","ENSECAG00000000323","ENSECAG00000000323",0.0173335401259147,0.00522938779703328,-0.0206827164797617,0.00798851864137522,-0.00503082694452135
"FAM131A","ENSECAG00000000326","ENSECAG00000000326",-0.000156898442180013,0.00048112756563933,0.0049361207166113,-0.00239468209617071,-0.00576141310978014
"RNF181","ENSECAG00000000327","ENSECAG00000000327",0.00593144863370597,-0.00729045924838158,0.0116929551348115,-0.00577030008559103,-0.0100629960580754
"C20H6orf62","ENSECAG00000000329","ENSECAG00000000329",0.000823471783726341,-0.000479254023666328,0.00148674093690949,0.00341176785073448,-0.00051490951978353
"KDM1B","ENSECAG00000000331","ENSECAG00000000331",-0.00490274721472089,-3.72956948498779e-05,-0.00359813011875007,0.00136014274786088,0.00475548535790306
"EIF2B2","ENSECAG00000000332","ENSECAG00000000332",0.00356834021801269,-0.0042544180374095,0.00323822652996571,0.000306613172224872,0.000184901724685281
"CNTN5","ENSECAG00000000340","ENSECAG00000000340",0.00684275679178769,0.0144554600916046,-0.00721407660390265,-0.0104919532968338,-0.0017283050827438
"ZNF112","ENSECAG00000000345","ENSECAG00000000345",-0.00353881604213895,-0.0023081441939192,-0.00811106814281184,-0.00687525406717744,0.00782539524546115
